trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.25, 'e': 0.3716838117046337}",25,8,-7.3017778998738825,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.25, 'e': 0.3687693373835995}",20,0,-93.66249658678034,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.25, 'e': 0.36586440898919925}",20,0,-38.14222798288897,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
45,False,"{'a': 0.25, 'e': 0.36296920551961687}",20,0,11.155397972905424,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.25, 'e': 0.3600839032622659}",20,8,-18.179665589397434,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.25, 'e': 0.35720867575922377}",25,10,12.726742647757654,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.25, 'e': 0.3543436937742046}",20,6,9.427267199089906,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.25, 'e': 0.3514891252610791}",20,0,-34.023207389662936,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.25, 'e': 0.3486451353339458}",25,0,-51.43961848978849,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.25, 'e': 0.3458118862387569}",20,5,0.3850325858645838,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.25, 'e': 0.34298953732650117}",20,0,-61.78782305370791,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
53,False,"{'a': 0.25, 'e': 0.34017824502794247}",25,0,-85.2363138967809,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.25, 'e': 0.3373781628299175}",20,10,14.122534509064756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.25, 'e': 0.334589441253186}",35,18,-18.134441787842626,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.25, 'e': 0.33181222783183384}",25,0,3.555860945548328,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.25, 'e': 0.32904666709422237}",20,14,11.657593769850617,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.25, 'e': 0.32629290054547855}",20,2,18.85645949722268,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.25, 'e': 0.32355106665152034}",20,12,-27.2958538339158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
